		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000  248  257  254  257  271  237  249  263  6.766493 0.562023 SUCCESS  76
100101000  244  262  248  236  234  268  266  264  8.247209 0.409702 SUCCESS  77
100110000  239  247  242  241  222  253  244  240  2.686579 0.952462 SUCCESS  78
100111000  261  245  259  242  258  259  224  262  6.988918 0.537829 SUCCESS  79
101000000  245  246  248  242  281  253  241  249  6.337530 0.609480 SUCCESS  80
101000100  264  226  250  231  228  258  230  236  6.983622 0.538401 SUCCESS  81
101001000  244  249  257  249  237  240  266  235  3.570984 0.893611 SUCCESS  82
101001100  229  238  228  241  256  256  262  218  7.711270 0.462170 SUCCESS  83
101010000  230  249  254  232  264  247  248  226  5.145966 0.741867 SUCCESS  84
101010100  214  257  239  244  249  255  247  228  6.396843 0.602871 SUCCESS  85
101011000  249  248  228  264  270  248  262  248  7.256887 0.509187 SUCCESS  86
101011100  266  250  264  232  262  268  249  249  8.439978 0.391713 SUCCESS  87
101100000  240  239  233  250  296  243  238  245 12.422448 0.133327 SUCCESS  88
101100100  270  241  252  266  237  245  228  246  6.502760 0.591102 SUCCESS  89
101101000  216  241  249  254  234  244  237  221  6.821569 0.556001 SUCCESS  90
101101100  254  274  248  271  244  246  248  259  8.334061 0.401537 SUCCESS  91
101110000  238  241  238  260  231  235  262  231  4.593081 0.800050 SUCCESS  92
101110100  241  242  251  228  241  225  262  231  5.036872 0.753628 SUCCESS  93
101111000  247  264  248  226  207  234  242  234  9.891037 0.272757 SUCCESS  94
101111100  258  223  219  250  247  261  252  239  7.142497 0.521339 SUCCESS  95
110000000  270  230  232  225  259  236  232  210 12.627927 0.125309 SUCCESS  96
