		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000  222  237  245  261  258  268  261  244  7.935814 0.439765 SUCCESS  76
100101000  237  259  233  256  287  235  228  229 12.485998 0.130801 SUCCESS  77
100110000  254  249  257  261  226  231  221  254  7.222994 0.512776 SUCCESS  78
100111000  230  219  240  255  232  226  260  238  7.334207 0.501041 SUCCESS  79
101000000  217  274  244  231  235  240  261  237  9.474784 0.303838 SUCCESS  80
101000100  230  252  241  222  224  254  259  263  7.799181 0.453329 SUCCESS  81
101001000  220  242  257  258  232  225  248  239  6.350240 0.608063 SUCCESS  82
101001100  209  236  252  266  240  246  230  260  9.796771 0.279581 SUCCESS  83
101010000  224  247  271  232  212  239  239  259 10.966093 0.203628 SUCCESS  84
101010100  231  261  265  245  225  248  224  240  7.186982 0.516600 SUCCESS  85
101011000  249  238  258  246  243  255  260  232  3.287127 0.915069 SUCCESS  86
101011100  254  222  240  226  250  232  235  274  8.854112 0.354752 SUCCESS  87
101100000  238  193  257  253  231  241  240  254 13.525042 0.095016 SUCCESS  88
101100100  236  245  258  243  255  245  234  237  2.257616 0.972078 SUCCESS  89
101101000  212  252  245  253  242  243  230  246  5.856668 0.663283 SUCCESS  90
101101100  264  242  270  210  242  273  253  255 13.849147 0.085783 SUCCESS  91
101110000  236  244  239  258  278  242  234  273 10.054149 0.261246 SUCCESS  92
101110100  269  248  230  246  262  239  233  275  9.573287 0.296261 SUCCESS  93
101111000  268  226  218  249  270  229  238  237 10.978803 0.202903 SUCCESS  94
101111100  262  253  258  247  251  241  245  261  3.989355 0.858083 SUCCESS  95
110000000  220  258  237  227  257  221  229  232  9.298963 0.317707 SUCCESS  96
110000010  262  235  259  230  244  237  234  262  5.492314 0.703891 SUCCESS  97
110000100  280  237  230  248  246  255  249  236  7.472958 0.486566 SUCCESS  98
110001000  269  251  232  247  246  231  259  271  8.221789 0.412111 SUCCESS  99
110001010  246  231  240  238  246  246  257  263  3.217222 0.919995 SUCCESS 100
110010000  261  246  235  267  259  268  244  250  7.289722 0.505721 SUCCESS 101
110010010  252  241  251  216  271  248  275  252 11.280665 0.186298 SUCCESS 102
110010100  247  265  251  251  261  231  259  249  5.256120 0.729884 SUCCESS 103
110011000  275  241  227  238  224  221  235  264 11.489321 0.175484 SUCCESS 104
110011010  225  227  239  261  259  226  260  244  7.506851 0.483060 SUCCESS 105
110100000  231  265  245  254  251  251  260  230  5.305900 0.724436 SUCCESS 106
110100010  222  262  227  256  237  261  258  251  7.704915 0.462813 SUCCESS 107
110100100  252  267  257  256  247  240  256  219  7.158385 0.519645 SUCCESS 108
110101000  227  223  258  237  209  230  230  255 11.582528 0.170825 SUCCESS 109
110101010  242  264  267  241  233  243  237  262  6.049436 0.641694 SUCCESS 110
110101100  285  225  272  235  257  254  246  231 14.133004 0.078364 SUCCESS 111
110110000  239  216  246  242  210  252  219  247 11.402470 0.179921 SUCCESS 112
110110010  221  271  266  236  243  294  233  244 18.701194 0.016542 SUCCESS 113
110110100  217  256  262  242  230  241  237  212 10.561490 0.227804 SUCCESS 114
110111000  259  251  228  239  276  254  214  241 10.954442 0.204294 SUCCESS 115
110111010  270  220  245  249  274  243  235  285 16.624166 0.034269 SUCCESS 116
110111100  263  230  215  237  241  233  255  236  7.510028 0.482731 SUCCESS 117
111000000  213  249  233  241  253  221  237  233  8.109517 0.422846 SUCCESS 118
111000010  267  226  251  242  257  258  250  271  8.552249 0.381462 SUCCESS 119
111000100  260  249  239  233  253  219  237  247  5.062292 0.750898 SUCCESS 120
111000110  231  245  236  229  246  255  278  230  8.204842 0.413721 SUCCESS 121
111001000  255  232  229  261  239  251  251  247  3.846367 0.870712 SUCCESS 122
111001010  251  236  269  216  247  237  234  278 11.998781 0.151258 SUCCESS 123
111001100  252  228  221  243  245  242  235  261  5.216930 0.734159 SUCCESS 124
111010000  269  239  252  239  266  253  250  225  7.163681 0.519080 SUCCESS 125
111010010  245  266  257  255  250  240  253  232  4.408785 0.818488 SUCCESS 126
111010100  232  223  254  246  243  234  237  256  4.193774 0.839231 SUCCESS 127
111010110  270  217  262  247  228  235  243  254  9.215288 0.324461 SUCCESS 128
111011000  244  246  244  248  221  263  245  259  4.794322 0.779316 SUCCESS 129
111011010  235  254  239  234  251  262  262  211  8.867881 0.353564 SUCCESS 130
111011100  278  260  234  252  251  243  244  235  7.184864 0.516825 SUCCESS 131
111100000  228  246  214  246  261  248  235  244  6.599144 0.580433 SUCCESS 132
111100010  262  232  224  235  263  221  239  259  8.868941 0.353472 SUCCESS 133
111100100  230  259  232  250  249  253  264  250  4.805973 0.778098 SUCCESS 134
111100110  259  246  220  242  224  229  249  250  6.369305 0.605938 SUCCESS 135
111101000  244  256  250  246  258  250  255  224  3.937456 0.862722 SUCCESS 136
111101010  225  238  250  239  256  219  260  246  6.320583 0.611370 SUCCESS 137
111101100  224  252  237  232  212  252  237  240  7.738809 0.459391 SUCCESS 138
111101110  269  241  235  247  260  236  234  235  5.185155 0.737616 SUCCESS 139
111110000  253  245  215  226  234  272  230  253 10.227853 0.249397 SUCCESS 140
111110010  249  258  234  207  254  253  249  232  8.660285 0.371759 SUCCESS 141
111110100  235  244  252  283  255  250  234  221 10.365544 0.240301 SUCCESS 142
111110110  201  255  229  235  236  238  245  247 10.179131 0.252678 SUCCESS 143
111111000  243  263  250  231  225  223  253  243  6.170181 0.628176 SUCCESS 144
111111010  236  234  277  259  245  245  253  242  6.589612 0.581486 SUCCESS 145
111111100  222  253  255  221  242  228  249  249  6.496405 0.591806 SUCCESS 146
111111110  242  252  239  245  243  243  255  222  2.982087 0.935477 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  236  216  258  229  259  250  228  231  8.330883 0.401834 SUCCESS   0
000000011  227  213  262  235  241  257  234  228  9.332856 0.314999 SUCCESS   1
