		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000  243  238  219  255  253  258  233  233  5.537858 0.698842 SUCCESS  76
100101000  233  259  238  259  247  259  237  260  4.813388 0.777323 SUCCESS  77
100110000  250  229  236  236  273  256  242  241  5.865141 0.662335 SUCCESS  78
100111000  248  228  251  233  275  250  222  250  8.294872 0.405209 SUCCESS  79
101000000  251  225  245  235  234  263  217  248  7.230408 0.511990 SUCCESS  80
101000100  252  254  250  253  234  225  269  265  7.607472 0.472721 SUCCESS  81
101001000  238  222  244  228  237  257  223  236  6.422263 0.600043 SUCCESS  82
101001100  255  242  254  242  247  260  240  231  2.857105 0.943002 SUCCESS  83
101010000  253  243  231  216  238  226  244  258  6.786617 0.559821 SUCCESS  84
101010100  252  264  225  233  250  246  265  250  6.163826 0.628887 SUCCESS  85
101011000  214  233  233  231  244  231  241  241  6.436032 0.598511 SUCCESS  86
101011100  239  238  244  239  246  263  259  272  6.135229 0.632087 SUCCESS  87
101100000  239  244  244  237  270  228  240  261  5.543154 0.698254 SUCCESS  88
101100100  255  241  235  252  230  250  266  252  4.439501 0.815455 SUCCESS  89
101101000  268  260  274  252  213  227  255  235 13.727343 0.089155 SUCCESS  90
101101100  236  238  219  237  235  238  245  229  4.812328 0.777434 SUCCESS  91
101110000  200  230  247  249  224  205  244  240 17.503275 0.025275 SUCCESS  92
101110100  233  248  247  222  248  230  254  238  4.177887 0.840728 SUCCESS  93
101111000  262  247  268  253  254  229  215  237  9.328619 0.315337 SUCCESS  94
101111100  227  258  243  251  222  277  254  264 11.003163 0.201520 SUCCESS  95
110000000  239  253  236  233  254  244  258  261  3.684315 0.884424 SUCCESS  96
110000010  262  249  218  233  251  222  228  216 11.597356 0.170093 SUCCESS  97
110000100  212  233  244  258  243  244  230  223  8.453747 0.390447 SUCCESS  98
110001000  240  226  250  217  241  243  239  247  4.920363 0.766053 SUCCESS  99
110001010  251  234  221  237  272  229  232  244  7.999364 0.433532 SUCCESS 100
110010000  257  232  235  251  247  261  260  244  4.187419 0.839830 SUCCESS 101
110010010  251  264  244  234  247  269  249  255  5.566456 0.695667 SUCCESS 102
110010100  237  237  250  271  260  263  226  257  8.307582 0.404016 SUCCESS 103
110011000  248  242  254  236  250  256  247  257  2.256557 0.972119 SUCCESS 104
110011010  229  247  274  245  238  245  252  228  6.315287 0.611961 SUCCESS 105
110100000  256  240  268  254  220  243  239  242  6.099217 0.636119 SUCCESS 106
110100010  222  241  286  253  210  213  281  249 24.777639 0.001695 FAILURE 107
110100100  244  231  246  249  248  240  222  244  3.055169 0.930848 SUCCESS 108
110101000  268  226  230  241  252  233  236  237  5.975294 0.649999 SUCCESS 109
110101010  255  263  261  227  258  250  265  239  7.378692 0.496379 SUCCESS 110
110101100  237  226  254  236  231  238  254  242  3.620765 0.889618 SUCCESS 111
110110000  230  236  262  225  253  224  221  248  8.407143 0.394742 SUCCESS 112
110110010  241  239  229  258  256  254  238  259  4.044432 0.853093 SUCCESS 113
110110100  238  259  256  246  213  242  251  231  6.762256 0.562487 SUCCESS 114
110111000  224  249  225  243  247  219  247  225  7.665726 0.466785 SUCCESS 115
110111010  235  270  252  247  214  225  281  235 14.995166 0.059240 SUCCESS 116
110111100  255  258  253  233  243  248  219  230  5.763461 0.673708 SUCCESS 117
111000000  258  241  229  253  242  226  259  256  5.105718 0.746219 SUCCESS 118
111000010  225  251  266  249  246  244  223  249  5.884206 0.660201 SUCCESS 119
111000100  250  244  256  239  241  252  244  239  1.270472 0.995896 SUCCESS 120
111000110  251  244  261  222  251  252  238  258  4.918245 0.766277 SUCCESS 121
111001000  257  230  243  239  256  247  277  249  6.976208 0.539202 SUCCESS 122
111001010  249  247  241  264  230  258  234  270  6.782380 0.560284 SUCCESS 123
111001100  227  234  259  256  218  249  262  253  7.891329 0.444157 SUCCESS 124
111010000  238  248  232  227  237  253  233  229  4.130224 0.845187 SUCCESS 125
111010010  262  244  250  229  236  240  240  257  3.595345 0.891665 SUCCESS 126
111010100  233  244  236  248  238  236  228  232  3.030808 0.932409 SUCCESS 127
111010110  235  232  229  251  220  246  234  207 10.899365 0.207467 SUCCESS 128
111011000  253  236  240  228  270  234  215  256  9.249182 0.321713 SUCCESS 129
111011010  239  260  237  252  228  247  238  246  2.967258 0.936395 SUCCESS 130
