		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000  254  250  227  231  235  248  243  249  3.054110 0.930916 SUCCESS  76
100101000  256  255  249  289  241  247  250  240 10.025552 0.263237 SUCCESS  77
100110000  249  243  233  254  235  231  265  271  7.032344 0.533147 SUCCESS  78
100111000  242  256  242  213  258  247  258  240  6.478399 0.593805 SUCCESS  79
101000000  274  257  210  247  206  232  228  212 21.707112 0.005488 FAILURE  80
101000100  230  248  264  268  268  248  237  269 10.312586 0.243768 SUCCESS  81
101001000  231  242  229  254  243  227  232  250  4.148230 0.843508 SUCCESS  82
101001100  256  253  246  259  255  224  226  247  5.527267 0.700017 SUCCESS  83
101010000  222  250  231  249  235  241  234  241  3.920509 0.864223 SUCCESS  84
101010100  223  244  230  259  218  235  241  246  6.974090 0.539431 SUCCESS  85
101011000  237  260  246  248  228  238  243  226  4.019012 0.855404 SUCCESS  86
101011100  250  242  241  261  249  261  245  231  3.453416 0.902775 SUCCESS  87
101100000  245  260  263  267  244  245  239  249  5.012511 0.756238 SUCCESS  88
101100100  221  237  266  229  211  243  228  243 11.238299 0.188559 SUCCESS  89
101101000  247  243  235  241  226  214  201  240 13.622485 0.092152 SUCCESS  90
101101100  265  253  273  232  260  250  227  264 10.465106 0.233886 SUCCESS  91
101110000  232  217  251  239  235  280  261  249 11.164157 0.192570 SUCCESS  92
101110100  244  253  248  251  294  233  235  268 14.428512 0.071258 SUCCESS  93
101111000  246  235  236  230  238  236  222  215  7.598998 0.473587 SUCCESS  94
101111100  264  214  236  222  262  268  251  250 11.987130 0.151779 SUCCESS  95
110000000  250  238  251  250  225  232  253  244  3.157908 0.924060 SUCCESS  96
110000010  232  239  258  253  226  259  236  222  6.566310 0.584062 SUCCESS  97
110000100  228  258  247  231  215  242  225  262  9.198342 0.325842 SUCCESS  98
110001000  251  254  258  217  213  247  239  231  9.526684 0.299829 SUCCESS  99
110001010  241  240  241  237  225  224  235  234  4.422555 0.817130 SUCCESS 100
110010000  240  218  249  259  215  244  231  241  8.366895 0.398476 SUCCESS 101
110010010  235  258  242  239  250  253  252  261  3.247938 0.917848 SUCCESS 102
