		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000  247  238  248  273  248  267  243  239  6.187128 0.626280 SUCCESS  76
100101000  245  267  235  229  257  248  266  255  6.836398 0.554383 SUCCESS  77
100110000  267  268  226  251  262  245  234  227  9.257655 0.321029 SUCCESS  78
100111000  233  224  230  231  249  254  260  251  5.597172 0.692252 SUCCESS  79
101000000  273  265  240  236  281  241  258  244 12.348306 0.136327 SUCCESS  80
101000100  249  254  271  252  272  239  246  244  7.254769 0.509411 SUCCESS  81
101001000  240  241  239  257  266  227  259  240  5.206339 0.735312 SUCCESS  82
101001100  251  257  213  221  250  251  226  253  9.344507 0.314072 SUCCESS  83
101010000  281  247  246  242  234  230  233  238  7.792826 0.453965 SUCCESS  84
101010100  255  242  250  258  267  225  231  253  6.312110 0.612315 SUCCESS  85
101011000  230  250  247  256  224  263  243  229  5.823833 0.666958 SUCCESS  86
101011100  219  228  234  235  240  261  243  242  5.866200 0.662216 SUCCESS  87
101100000  230  247  219  261  231  226  224  240  8.670876 0.370816 SUCCESS  88
101100100  241  210  238  233  242  230  251  263  8.232381 0.411106 SUCCESS  89
101101000  245  281  238  280  270  259  263  242 16.678184 0.033640 SUCCESS  90
101101100  251  226  211  215  233  249  259  267 13.614012 0.092398 SUCCESS  91
101110000  250  222  240  245  255  246  243  226  4.208603 0.837829 SUCCESS  92
101110100  263  258  255  214  252  226  249  240  8.498232 0.386373 SUCCESS  93
101111000  210  215  234  230  222  247  238  240 12.147065 0.144762 SUCCESS  94
101111100  224  254  246  259  237  226  233  249  5.313315 0.723624 SUCCESS  95
110000000  240  247  186  237  256  246  237  237 15.678330 0.047223 SUCCESS  96
110000010  246  229  240  250  225  224  241  221  6.774966 0.561095 SUCCESS  97
110000100  244  247  268  259  238  252  234  243  4.248851 0.834002 SUCCESS  98
110001000  222  234  251  243  254  242  272  267  8.654989 0.372231 SUCCESS  99
110001010  250  241  237  237  223  248  271  245  5.635302 0.688008 SUCCESS 100
110010000  238  234  254  265  238  265  250  247  5.038990 0.753401 SUCCESS 101
110010010  239  262  241  254  224  260  257  254  5.818538 0.667550 SUCCESS 102
110010100  234  262  245  210  238  252  282  238 13.383113 0.099330 SUCCESS 103
110011000  258  218  255  257  228  236  253  254  7.038699 0.532463 SUCCESS 104
110011010  239  250  251  217  253  246  211  243  8.577669 0.379165 SUCCESS 105
110100000  254  282  240  246  282  281  243  260 19.489215 0.012451 SUCCESS 106
110100010  268  254  292  227  265  234  267  218 21.170114 0.006709 FAILURE 107
110100100  210  253  254  262  253  241  258  265 10.071096 0.260071 SUCCESS 108
110101000  255  242  268  239  254  241  219  224  7.891329 0.444157 SUCCESS 109
110101010  242  231  227  269  256  240  230  275 10.166421 0.253539 SUCCESS 110
110101100  233  251  255  275  216  243  223  244 10.511710 0.230930 SUCCESS 111
110110000  225  222  218  244  266  233  233  245  9.594470 0.294650 SUCCESS 112
110110010  233  245  219  223  263  246  258  249  7.533330 0.480329 SUCCESS 113
110110100  258  267  227  281  254  251  278  222 17.584831 0.024564 SUCCESS 114
110111000  253  239  244  234  253  242  256  227  3.072116 0.929751 SUCCESS 115
110111010  239  232  241  223  261  239  239  233  4.619560 0.797356 SUCCESS 116
110111100  243  230  248  259  204  247  246  255  9.223762 0.323773 SUCCESS 117
111000000  247  254  193  242  260  241  276  248 17.018177 0.029920 SUCCESS 118
111000010  250  265  276  252  242  254  260  250  8.205902 0.413620 SUCCESS 119
111000100  243  233  221  249  229  229  248  242  4.917186 0.766390 SUCCESS 120
111000110  259  218  237  268  260  240  241  251  7.840489 0.449205 SUCCESS 121
111001000  225  241  262  247  238  253  244  215  7.066237 0.529503 SUCCESS 122
111001010  238  265  261  209  218  246  246  235 11.712806 0.164485 SUCCESS 123
111001100  239  238  249  239  217  242  217  253  7.069415 0.529162 SUCCESS 124
111010000  245  265  244  237  272  247  222  275 11.504150 0.174736 SUCCESS 125
111010010  224  246  261  245  246  227  250  234  4.778435 0.780974 SUCCESS 126
111010100  265  256  276  226  245  265  199  240 18.688484 0.016617 SUCCESS 127
111010110  236  227  239  260  223  240  230  242  5.528326 0.699900 SUCCESS 128
111011000  229  235  234  248  239  241  256  221  4.835630 0.774991 SUCCESS 129
111011010  254  238  233  286  227  228  274  230 15.496153 0.050186 SUCCESS 130
111011100  227  251  245  219  225  262  230  229  8.838225 0.356127 SUCCESS 131
111100000  221  252  208  254  238  247  237  248  8.943082 0.347120 SUCCESS 132
111100010  239  231  260  231  234  249  239  260  4.352650 0.823988 SUCCESS 133
111100100  263  257  265  259  237  254  261  214 10.674821 0.220814 SUCCESS 134
111100110  243  268  250  228  225  256  214  244  9.660139 0.289694 SUCCESS 135
111101000  244  252  278  235  253  244  215  258 10.220438 0.249894 SUCCESS 136
111101010  234  234  253  264  224  238  211  269 12.021024 0.150268 SUCCESS 137
111101100  245  245  215  244  247  244  255  235  4.489282 0.810504 SUCCESS 138
111101110  234  236  234  206  239  265  259  255 10.702360 0.219141 SUCCESS 139
111110000  219  257  253  268  243  240  221  247  8.503528 0.385890 SUCCESS 140
111110010  244  242  285  243  231  231  233  222 11.160979 0.192744 SUCCESS 141
111110100  238  266  279  243  238  221  217  239 12.997576 0.111933 SUCCESS 142
111110110  245  236  219  253  249  253  248  239  3.900385 0.865997 SUCCESS 143
111111000  236  238  251  269  242  251  202  255 11.498854 0.175003 SUCCESS 144
111111010  230  243  259  250  233  257  209  246  8.402907 0.395134 SUCCESS 145
111111100  245  205  253  256  255  256  230  260 10.431213 0.236055 SUCCESS 146
